"","family_income","NAME","Total Population","state","county","Census.Tract","n","avg_calls","id","alt_boro","alt_ct"
"35",1936,"Census Tract 65, Bronx County, New York",5228,"36","05","006500",19,0.00363427697016067,"36005006500","2","2006500"
"36",2312,"Census Tract 67, Bronx County, New York",7535,"36","05","006700",16,0.00212342402123424,"36005006700","2","2006700"
"37",974,"Census Tract 68, Bronx County, New York",2671,"36","05","006800",28,0.0104829651815799,"36005006800","2","2006800"
"38",2668,"Census Tract 69, Bronx County, New York",5582,"36","05","006900",8,0.00143317807237549,"36005006900","2","2006900"
"39",1322,"Census Tract 70, Bronx County, New York",4313,"36","05","007000",12,0.00278228611175516,"36005007000","2","2007000"
"40",860,"Census Tract 71, Bronx County, New York",2221,"36","05","007100",12,0.00540297163439892,"36005007100","2","2007100"
"41",1663,"Census Tract 72, Bronx County, New York",5777,"36","05","007200",10,0.00173100225030293,"36005007200","2","2007200"
"42",1291,"Census Tract 73, Bronx County, New York",3526,"36","05","007300",8,0.0022688598979013,"36005007300","2","2007300"
"43",1361,"Census Tract 74, Bronx County, New York",3773,"36","05","007400",21,0.00556586270871985,"36005007400","2","2007400"
"44",2035,"Census Tract 75, Bronx County, New York",4277,"36","05","007500",10,0.00233808744447042,"36005007500","2","2007500"
"45",1604,"Census Tract 76, Bronx County, New York",5589,"36","05","007600",8,0.00143138307389515,"36005007600","2","2007600"
"46",603,"Census Tract 77, Bronx County, New York",1748,"36","05","007700",20,0.011441647597254,"36005007700","2","2007700"
"47",2017,"Census Tract 78, Bronx County, New York",6102,"36","05","007800",15,0.00245821042281219,"36005007800","2","2007800"
"48",2340,"Census Tract 79, Bronx County, New York",5930,"36","05","007900",12,0.00202360876897133,"36005007900","2","2007900"
"49",2143,"Census Tract 83, Bronx County, New York",6159,"36","05","008300",12,0.00194836824159766,"36005008300","2","2008300"
"50",684,"Census Tract 84, Bronx County, New York",2508,"36","05","008400",11,0.0043859649122807,"36005008400","2","2008400"
"51",1750,"Census Tract 85, Bronx County, New York",5541,"36","05","008500",5,0.000902364194188775,"36005008500","2","2008500"
"52",1424,"Census Tract 86, Bronx County, New York",3835,"36","05","008600",1,0.000260756192959583,"36005008600","2","2008600"
"53",1889,"Census Tract 87, Bronx County, New York",6294,"36","05","008700",26,0.00413091833492215,"36005008700","2","2008700"
"54",1208,"Census Tract 89, Bronx County, New York",3057,"36","05","008900",18,0.00588812561334642,"36005008900","2","2008900"
"55",1178,"Census Tract 90, Bronx County, New York",3747,"36","05","009000",5,0.00133440085401655,"36005009000","2","2009000"
"56",1778,"Census Tract 92, Bronx County, New York",5419,"36","05","009200",10,0.00184535892231039,"36005009200","2","2009200"
"57",1676,"Census Tract 93, Bronx County, New York",6667,"36","05","009300",8,0.00119994000299985,"36005009300","2","2009300"
"58",723,"Census Tract 96, Bronx County, New York",2302,"36","05","009600",29,0.0125977410947003,"36005009600","2","2009600"
"59",1731,"Census Tract 98, Bronx County, New York",5145,"36","05","009800",13,0.00252672497570457,"36005009800","2","2009800"
"60",55,"Census Tract 110, Bronx County, New York",113,"36","05","011000",10,0.0884955752212389,"36005011000","2","2011000"
"61",1360,"Census Tract 115.02, Bronx County, New York",4663,"36","05","011502",5,0.00107227107012653,"36005011502","2","2011502"
