"","census","complaint.category","n","top"
"657","36005031400","other",5,"no"
"658","36005031400","parking",2,"no"
"659","36005031600","collection",3,"no"
"660","36005031800","collection",1,"no"
"661","36005031800","other",3,"no"
"662","36005032300","noise",2,"no"
"663","36005032300","other",4,"no"
"664","36005032400","household",2,"no"
"665","36005032400","noise",4,"no"
"666","36005032400","other",5,"no"
"667","36005032400","parking",2,"no"
"668","36005032600","collection",1,"no"
"669","36005032600","other",3,"no"
"670","36005032600","parking",1,"no"
"671","36005032800","collection",1,"no"
"672","36005032800","noise",1,"no"
"673","36005032800","other",1,"no"
"674","36005032800","parking",2,"no"
"675","36005033000","household",15,"no"
"676","36005033000","noise",79,"yes"
"677","36005033000","other",7,"no"
"678","36005033201","household",1,"no"
"679","36005033201","noise",3,"no"
"680","36005033201","other",1,"no"
"681","36005033201","parking",1,"no"
"682","36005033202","household",7,"no"
"683","36005033202","noise",1,"no"
"684","36005033202","other",4,"no"
"685","36005033202","parking",1,"no"
"686","36005033500","collection",1,"no"
"687","36005033500","other",1,"no"
"688","36005033600","noise",6,"no"
"689","36005033600","other",6,"no"
"690","36005033700","collection",1,"no"
"691","36005033700","other",2,"no"
"692","36005033800","household",3,"no"
"693","36005033800","noise",2,"no"
"694","36005033800","other",3,"no"
"695","36005033800","parking",3,"no"
"696","36005034000","household",2,"no"
"697","36005034000","noise",5,"no"
"698","36005034000","other",4,"no"
"699","36005034000","parking",1,"no"
"700","36005034200","other",3,"no"
"701","36005034200","parking",1,"no"
"702","36005034300","household",2,"no"
"703","36005034300","noise",1,"no"
"704","36005034300","other",4,"no"
"705","36005034400","parking",2,"no"
"706","36005034500","household",5,"no"
"707","36005034500","noise",6,"no"
"708","36005034500","other",7,"no"
"709","36005034500","parking",1,"no"
"710","36005034800","household",3,"no"
"711","36005034800","noise",1,"no"
"712","36005034800","other",5,"no"
"713","36005034800","parking",1,"no"
"714","36005035000","household",1,"no"
"715","36005035000","other",7,"no"
"716","36005035100","noise",1,"no"
"717","36005035100","other",3,"no"
"718","36005035100","parking",3,"no"
"719","36005035600","collection",1,"no"
"720","36005035600","household",2,"no"
"721","36005035600","other",1,"no"
"722","36005035800","collection",3,"no"
"723","36005035800","household",2,"no"
"724","36005035800","other",15,"no"
"725","36005035900","noise",1,"no"
"726","36005035900","other",3,"no"
"727","36005035900","parking",1,"no"
"728","36005036000","collection",1,"no"
"729","36005036000","noise",2,"no"
"730","36005036000","other",1,"no"
"731","36005036100","household",7,"no"
"732","36005036100","noise",2,"no"
"733","36005036100","other",2,"no"
"734","36005036100","parking",1,"no"
"735","36005036300","household",13,"no"
"736","36005036300","noise",13,"no"
"737","36005036300","other",16,"no"
"738","36005036400","collection",1,"no"
"739","36005036400","other",1,"no"
"740","36005036400","parking",1,"no"
"741","36005036501","noise",5,"no"
"742","36005036501","parking",2,"no"
"743","36005036502","household",6,"no"
"744","36005036502","noise",2,"no"
"745","36005036502","other",4,"no"
"746","36005036502","parking",2,"no"
"747","36005036700","other",3,"no"
"748","36005036700","parking",1,"no"
"749","36005036800","collection",1,"no"
"750","36005036800","other",2,"no"
"751","36005036901","noise",1,"no"
"752","36005036901","other",2,"no"
"753","36005036902","other",1,"no"
"754","36005037000","collection",2,"no"
"755","36005037000","noise",2,"no"
"756","36005037000","other",1,"no"
"757","36005037000","parking",3,"no"
"758","36005037100","noise",4,"no"
"759","36005037100","other",3,"no"
"760","36005037100","parking",1,"no"
"761","36005037200","other",2,"no"
"762","36005037300","household",5,"no"
"763","36005037300","noise",7,"no"
"764","36005037300","other",8,"no"
"765","36005037300","parking",2,"no"
"766","36005037400","household",3,"no"
"767","36005037400","other",7,"no"
"768","36005037400","parking",6,"no"
"769","36005037504","collection",1,"no"
"770","36005037504","household",2,"no"
"771","36005037504","noise",2,"no"
"772","36005037504","other",2,"no"
"773","36005037600","collection",1,"no"
"774","36005037600","noise",1,"no"
"775","36005037600","other",4,"no"
"776","36005037600","parking",2,"no"
"777","36005037800","household",6,"no"
"778","36005037800","other",1,"no"
"779","36005037900","household",1,"no"
"780","36005037900","noise",4,"no"
"781","36005037900","other",3,"no"
"782","36005038000","collection",2,"no"
"783","36005038000","household",11,"no"
"784","36005038000","noise",2,"no"
"785","36005038000","other",9,"no"
"786","36005038000","parking",5,"no"
"787","36005038100","household",4,"no"
"788","36005038100","noise",2,"no"
"789","36005038100","other",2,"no"
"790","36005038100","parking",1,"no"
"791","36005038200","household",3,"no"
"792","36005038200","other",2,"no"
"793","36005038301","noise",11,"no"
"794","36005038301","other",3,"no"
"795","36005038301","parking",1,"no"
"796","36005038302","household",11,"no"
"797","36005038302","noise",5,"no"
"798","36005038302","other",9,"no"
"799","36005038302","parking",1,"no"
"800","36005038500","household",6,"no"
"801","36005038500","noise",1,"no"
"802","36005038500","other",9,"no"
"803","36005038500","parking",1,"no"
"804","36005038600","household",5,"no"
"805","36005038600","other",11,"no"
"806","36005038600","parking",6,"no"
"807","36005038700","noise",5,"no"
"808","36005038700","other",2,"no"
"809","36005038800","parking",2,"no"
"810","36005038900","household",8,"no"
"811","36005038900","noise",4,"no"
"812","36005038900","other",7,"no"
"813","36005038900","parking",2,"no"
"814","36005039000","collection",1,"no"
"815","36005039000","household",1,"no"
"816","36005039000","other",4,"no"
"817","36005039100","household",13,"no"
"818","36005039100","noise",10,"no"
"819","36005039100","other",22,"no"
"820","36005039100","parking",7,"no"
"821","36005039200","household",2,"no"
"822","36005039200","parking",1,"no"
"823","36005039300","household",5,"no"
"824","36005039300","noise",2,"no"
"825","36005039300","other",12,"no"
"826","36005039400","household",10,"no"
"827","36005039400","noise",1,"no"
"828","36005039400","other",5,"no"
"829","36005039400","parking",1,"no"
"830","36005039500","collection",1,"no"
"831","36005039500","household",2,"no"
"832","36005039500","noise",1,"no"
"833","36005039500","other",4,"no"
"834","36005039500","parking",3,"no"
"835","36005039600","household",1,"no"
"836","36005039600","noise",4,"no"
"837","36005039600","other",4,"no"
"838","36005039600","parking",4,"no"
"839","36005039700","noise",2,"no"
"840","36005039700","other",1,"no"
"841","36005039800","noise",1,"no"
"842","36005039800","other",1,"no"
"843","36005039800","parking",2,"no"
"844","36005039901","noise",2,"no"
