"","Total Population","NAME","state","county","Census.Tract","n","avg_calls","id","alt_boro","alt_ct"
"167",2047,"Census Tract 246, Bronx County, New York","36","05","024600",5,0.00244259892525647,"36005024600","2","2024600"
"168",2199,"Census Tract 247, Bronx County, New York","36","05","024700",18,0.00818553888130969,"36005024700","2","2024700"
"169",3656,"Census Tract 248, Bronx County, New York","36","05","024800",5,0.00136761487964989,"36005024800","2","2024800"
"171",2487,"Census Tract 250, Bronx County, New York","36","05","025000",5,0.00201045436268597,"36005025000","2","2025000"
"172",7658,"Census Tract 251, Bronx County, New York","36","05","025100",21,0.00274223034734918,"36005025100","2","2025100"
"173",2565,"Census Tract 252, Bronx County, New York","36","05","025200",4,0.00155945419103314,"36005025200","2","2025200"
"174",5913,"Census Tract 253, Bronx County, New York","36","05","025300",14,0.00236766446812109,"36005025300","2","2025300"
"175",1707,"Census Tract 254, Bronx County, New York","36","05","025400",12,0.0070298769771529,"36005025400","2","2025400"
"176",6828,"Census Tract 255, Bronx County, New York","36","05","025500",14,0.00205038078500293,"36005025500","2","2025500"
"177",1542,"Census Tract 256, Bronx County, New York","36","05","025600",7,0.00453955901426719,"36005025600","2","2025600"
"178",2034,"Census Tract 257, Bronx County, New York","36","05","025700",9,0.00442477876106195,"36005025700","2","2025700"
"179",3589,"Census Tract 261, Bronx County, New York","36","05","026100",38,0.010587907495124,"36005026100","2","2026100"
"180",6616,"Census Tract 263, Bronx County, New York","36","05","026300",17,0.00256952841596131,"36005026300","2","2026300"
"181",5694,"Census Tract 264, Bronx County, New York","36","05","026400",10,0.00175623463294696,"36005026400","2","2026400"
"182",6847,"Census Tract 265, Bronx County, New York","36","05","026500",27,0.00394333284650212,"36005026500","2","2026500"
"183",4824,"Census Tract 266.02, Bronx County, New York","36","05","026602",4,0.000829187396351575,"36005026602","2","2026602"
"184",6442,"Census Tract 267.02, Bronx County, New York","36","05","026702",7,0.00108661906240298,"36005026702","2","2026702"
"185",3496,"Census Tract 269, Bronx County, New York","36","05","026900",30,0.0085812356979405,"36005026900","2","2026900"
"186",7891,"Census Tract 273, Bronx County, New York","36","05","027300",17,0.00215435306044861,"36005027300","2","2027300"
"187",4708,"Census Tract 274.01, Bronx County, New York","36","05","027401",10,0.00212404418011895,"36005027401","2","2027401"
"188",3298,"Census Tract 274.02, Bronx County, New York","36","05","027402",4,0.00121285627653123,"36005027402","2","2027402"
"190",5312,"Census Tract 277, Bronx County, New York","36","05","027700",14,0.0026355421686747,"36005027700","2","2027700"
"191",7688,"Census Tract 279, Bronx County, New York","36","05","027900",33,0.00429240374609781,"36005027900","2","2027900"
"192",4106,"Census Tract 281, Bronx County, New York","36","05","028100",60,0.0146127618119825,"36005028100","2","2028100"
"193",2708,"Census Tract 283, Bronx County, New York","36","05","028300",18,0.00664697193500739,"36005028300","2","2028300"
"194",831,"Census Tract 284, Bronx County, New York","36","05","028400",6,0.0072202166064982,"36005028400","2","2028400"
"195",3013,"Census Tract 285, Bronx County, New York","36","05","028500",20,0.00663790242283438,"36005028500","2","2028500"
"196",1219,"Census Tract 286, Bronx County, New York","36","05","028600",6,0.00492206726825267,"36005028600","2","2028600"
"197",3409,"Census Tract 287, Bronx County, New York","36","05","028700",22,0.00645350542681138,"36005028700","2","2028700"
"198",3319,"Census Tract 288, Bronx County, New York","36","05","028800",8,0.00241036456764086,"36005028800","2","2028800"
"199",4743,"Census Tract 289, Bronx County, New York","36","05","028900",11,0.00231920725279359,"36005028900","2","2028900"
"200",4971,"Census Tract 293.02, Bronx County, New York","36","05","029302",5,0.00100583383625025,"36005029302","2","2029302"
"201",4139,"Census Tract 295, Bronx County, New York","36","05","029500",33,0.0079729403237497,"36005029500","2","2029500"
"202",2537,"Census Tract 296, Bronx County, New York","36","05","029600",2,0.000788332676389436,"36005029600","2","2029600"
"203",3358,"Census Tract 297, Bronx County, New York","36","05","029700",16,0.00476474091721263,"36005029700","2","2029700"
"204",5819,"Census Tract 300, Bronx County, New York","36","05","030000",5,0.000859254167382712,"36005030000","2","2030000"
"205",1203,"Census Tract 301, Bronx County, New York","36","05","030100",3,0.00249376558603491,"36005030100","2","2030100"
"206",10362,"Census Tract 302, Bronx County, New York","36","05","030200",6,0.000579038795599305,"36005030200","2","2030200"
"207",5646,"Census Tract 307.01, Bronx County, New York","36","05","030701",1,0.000177116542685087,"36005030701","2","2030701"
"208",3273,"Census Tract 309, Bronx County, New York","36","05","030900",16,0.00488848151542927,"36005030900","2","2030900"
"209",4978,"Census Tract 310, Bronx County, New York","36","05","031000",4,0.000803535556448373,"36005031000","2","2031000"
"210",1720,"Census Tract 312, Bronx County, New York","36","05","031200",3,0.00174418604651163,"36005031200","2","2031200"
"211",2077,"Census Tract 314, Bronx County, New York","36","05","031400",4,0.00192585459797785,"36005031400","2","2031400"
"212",2284,"Census Tract 316, Bronx County, New York","36","05","031600",1,0.000437828371278459,"36005031600","2","2031600"
"213",2314,"Census Tract 318, Bronx County, New York","36","05","031800",1,0.000432152117545376,"36005031800","2","2031800"
"214",1395,"Census Tract 319, Bronx County, New York","36","05","031900",4,0.0028673835125448,"36005031900","2","2031900"
"215",5112,"Census Tract 323, Bronx County, New York","36","05","032300",12,0.00234741784037559,"36005032300","2","2032300"
"216",3018,"Census Tract 324, Bronx County, New York","36","05","032400",3,0.00099403578528827,"36005032400","2","2032400"
"217",3332,"Census Tract 326, Bronx County, New York","36","05","032600",2,0.000600240096038415,"36005032600","2","2032600"
"218",3937,"Census Tract 328, Bronx County, New York","36","05","032800",4,0.00101600203200406,"36005032800","2","2032800"
"219",5563,"Census Tract 330, Bronx County, New York","36","05","033000",24,0.00431421894661154,"36005033000","2","2033000"
"220",3181,"Census Tract 332.01, Bronx County, New York","36","05","033201",1,0.000314366551398931,"36005033201","2","2033201"
"221",3665,"Census Tract 332.02, Bronx County, New York","36","05","033202",1,0.000272851296043656,"36005033202","2","2033202"
"222",2041,"Census Tract 335, Bronx County, New York","36","05","033500",10,0.00489955903968643,"36005033500","2","2033500"
"223",6026,"Census Tract 336, Bronx County, New York","36","05","033600",4,0.000663790242283438,"36005033600","2","2033600"
"224",2559,"Census Tract 337, Bronx County, New York","36","05","033700",8,0.0031262211801485,"36005033700","2","2033700"
"225",3749,"Census Tract 338, Bronx County, New York","36","05","033800",3,0.000800213390237397,"36005033800","2","2033800"
"226",4426,"Census Tract 340, Bronx County, New York","36","05","034000",3,0.000677812923633077,"36005034000","2","2034000"
"227",1714,"Census Tract 342, Bronx County, New York","36","05","034200",5,0.0029171528588098,"36005034200","2","2034200"
"228",1751,"Census Tract 343, Bronx County, New York","36","05","034300",3,0.00171330668189606,"36005034300","2","2034300"
"229",3665,"Census Tract 345, Bronx County, New York","36","05","034500",15,0.00409276944065484,"36005034500","2","2034500"
"230",6464,"Census Tract 348, Bronx County, New York","36","05","034800",13,0.00201113861386139,"36005034800","2","2034800"
"231",1759,"Census Tract 350, Bronx County, New York","36","05","035000",2,0.00113700966458215,"36005035000","2","2035000"
