"","complaint.category","Total Population","Census Measure","decile"
"571","parking",1822,"educ_decile",5
"572","other",5316,"educ_decile",2
"573","noise",5678,"educ_decile",3
"574","household",6827,"educ_decile",10
"575","noise",5928,"educ_decile",2
"576","other",7053,"educ_decile",7
"577","noise",3867,"educ_decile",2
"578","parking",5043,"educ_decile",5
"579","noise",15377,"educ_decile",10
"580","noise",4111,"educ_decile",8
"581","other",5425,"educ_decile",1
"582","noise",4605,"educ_decile",10
"583","noise",10174,"educ_decile",2
"584","parking",2249,"educ_decile",4
"585","parking",2330,"educ_decile",1
"586","noise",8358,"educ_decile",9
"587","parking",6058,"educ_decile",7
"588","household",3028,"educ_decile",7
"589","parking",3217,"educ_decile",4
"590","parking",4700,"educ_decile",1
"591","parking",10218,"educ_decile",10
"592","household",6442,"educ_decile",3
"593","noise",3828,"educ_decile",5
"594","other",3897,"educ_decile",9
"595","other",5618,"educ_decile",1
"596","other",7060,"educ_decile",7
"597","other",5316,"educ_decile",2
"598","household",3592,"educ_decile",2
"599","collection",2042,"educ_decile",2
"600","noise",3239,"educ_decile",8
"601","other",7906,"educ_decile",5
"602","household",2810,"educ_decile",6
"603","other",2068,"educ_decile",3
"604","household",7205,"educ_decile",9
"605","noise",8286,"educ_decile",6
"606","parking",2416,"educ_decile",7
"607","noise",3768,"educ_decile",2
"608","household",2885,"educ_decile",2
"609","household",4598,"educ_decile",2
"610","parking",3107,"educ_decile",5
"611","noise",4059,"educ_decile",7
"612","other",4687,"educ_decile",2
"613","parking",4013,"educ_decile",6
"614","parking",2379,"educ_decile",6
"615","other",5382,"educ_decile",9
"616","other",8078,"educ_decile",7
"617","household",3310,"educ_decile",6
"618","parking",3557,"educ_decile",7
"619","noise",5523,"educ_decile",8
"620","collection",6250,"educ_decile",10
"621","other",7644,"educ_decile",10
"622","other",4624,"educ_decile",8
"623","other",3665,"educ_decile",4
"624","other",3102,"educ_decile",5
"625","parking",3538,"educ_decile",1
"626","other",3466,"educ_decile",1
"627","other",3165,"educ_decile",8
"628","other",7061,"educ_decile",10
"629","noise",3927,"educ_decile",2
"630","other",5908,"educ_decile",2
"631","parking",6000,"educ_decile",8
"632","other",1260,"educ_decile",9
"633","other",2317,"educ_decile",2
"634","household",5511,"educ_decile",9
"635","noise",5547,"educ_decile",1
"636","household",8033,"educ_decile",4
"637","noise",5241,"educ_decile",5
"638","noise",5106,"educ_decile",2
"639","noise",7674,"educ_decile",10
"640","other",4624,"educ_decile",8
"641","parking",2488,"educ_decile",5
"642","noise",7456,"educ_decile",9
"643","other",2814,"educ_decile",1
"644","parking",3409,"educ_decile",7
"645","other",6911,"educ_decile",4
"646","other",2440,"educ_decile",1
"647","household",3128,"educ_decile",4
"648","noise",7904,"educ_decile",8
"649","noise",1635,"educ_decile",9
"650","other",1902,"educ_decile",10
"651","household",6294,"educ_decile",1
"652","parking",8320,"educ_decile",7
"653","other",8599,"educ_decile",9
"654","noise",4655,"educ_decile",7
"655","noise",7018,"educ_decile",6
"656","other",2295,"educ_decile",8
"657","noise",7456,"educ_decile",9
"658","collection",3502,"educ_decile",8
"659","parking",1431,"educ_decile",9
"660","parking",2432,"educ_decile",8
"661","other",1532,"educ_decile",8
"662","noise",5263,"educ_decile",9
"663","other",2317,"educ_decile",2
"664","noise",4663,"educ_decile",2
"665","noise",3723,"educ_decile",7
"666","other",6645,"educ_decile",10
"667","collection",2184,"educ_decile",8
"668","other",2317,"educ_decile",2
"669","other",3410,"educ_decile",7
"670","noise",5425,"educ_decile",1
"671","other",6911,"educ_decile",4
"672","parking",3535,"educ_decile",6
"673","noise",3850,"educ_decile",1
"674","other",2493,"educ_decile",6
"675","other",2317,"educ_decile",2
"676","noise",3761,"educ_decile",6
"677","noise",1686,"educ_decile",10
"678","noise",5721,"educ_decile",6
"679","noise",5085,"educ_decile",10
"680","household",9633,"educ_decile",10
"681","noise",5928,"educ_decile",2
"682","noise",1635,"educ_decile",3
"683","noise",3517,"educ_decile",5
"684","noise",9024,"educ_decile",10
"685","noise",5425,"educ_decile",1
"686","noise",5979,"educ_decile",6
"687","other",6294,"educ_decile",1
"688","parking",3557,"educ_decile",7
"689","parking",4503,"educ_decile",7
"690","noise",4334,"educ_decile",5
"691","household",3542,"educ_decile",8
"692","noise",3306,"educ_decile",1
"693","parking",9388,"educ_decile",10
"694","noise",2390,"educ_decile",7
"695","other",4346,"educ_decile",9
"696","noise",5190,"educ_decile",3
"697","noise",4729,"educ_decile",1
"698","parking",5181,"educ_decile",4
"699","other",2755,"educ_decile",10
"700","other",3638,"educ_decile",2
"701","other",2880,"educ_decile",5
"702","household",4113,"educ_decile",10
"703","other",2932,"educ_decile",9
"704","other",4204,"educ_decile",7
"705","parking",3258,"educ_decile",10
"706","other",4624,"educ_decile",8
"707","other",2666,"educ_decile",9
"708","other",7639,"educ_decile",1
"709","other",8463,"educ_decile",9
"710","noise",3258,"educ_decile",10
"711","other",8599,"educ_decile",9
"712","other",4073,"educ_decile",3
"713","noise",4059,"educ_decile",7
"714","other",3996,"educ_decile",7
"715","noise",5597,"educ_decile",10
"716","noise",1521,"educ_decile",9
"717","collection",8721,"educ_decile",6
"718","parking",3065,"educ_decile",8
"719","noise",9469,"educ_decile",2
"720","parking",2666,"educ_decile",9
"721","parking",4671,"educ_decile",4
"722","other",1954,"educ_decile",8
"723","parking",1517,"educ_decile",7
"724","noise",4876,"educ_decile",8
"725","other",6569,"educ_decile",1
"726","other",3652,"educ_decile",2
"727","collection",3866,"educ_decile",3
"728","parking",1822,"educ_decile",5
"729","noise",2639,"educ_decile",3
"730","noise",2639,"educ_decile",3
"731","collection",2363,"educ_decile",8
"732","collection",3553,"educ_decile",7
"733","other",3246,"educ_decile",3
"734","parking",3582,"educ_decile",9
"735","noise",7039,"educ_decile",10
"736","other",5872,"educ_decile",10
"737","parking",3434,"educ_decile",5
"738","noise",3967,"educ_decile",2
"739","other",5104,"educ_decile",2
"740","noise",6647,"educ_decile",10
"741","other",5928,"educ_decile",2
"742","other",3652,"educ_decile",2
"743","other",4326,"educ_decile",7
"744","parking",3608,"educ_decile",3
"745","other",3652,"educ_decile",2
"746","parking",4332,"educ_decile",7
"747","parking",6026,"educ_decile",5
"748","other",7904,"educ_decile",8
"749","household",8229,"educ_decile",10
"750","household",9488,"educ_decile",9
"751","parking",6214,"educ_decile",5
"752","noise",3563,"educ_decile",5
"753","other",5101,"educ_decile",10
"754","noise",9488,"educ_decile",9
"755","noise",2426,"educ_decile",1
"756","household",6534,"educ_decile",9
"757","other",2645,"educ_decile",8
"758","other",6532,"educ_decile",1
"759","parking",4663,"educ_decile",2
"760","other",4873,"educ_decile",10
"761","household",6294,"educ_decile",1
"762","other",4973,"educ_decile",10
"763","household",6442,"educ_decile",3
"764","collection",2363,"educ_decile",8
"765","other",3768,"educ_decile",2
"766","household",2367,"educ_decile",7
"767","noise",6366,"educ_decile",5
"768","other",2652,"educ_decile",5
"769","other",6952,"educ_decile",1
"770","other",6014,"educ_decile",7
"771","other",1336,"educ_decile",1
"772","other",4276,"educ_decile",7
"773","other",3426,"educ_decile",10
"774","collection",2352,"educ_decile",4
"775","other",5996,"educ_decile",7
"776","household",2031,"educ_decile",7
"777","parking",3592,"educ_decile",3
"778","other",0,"educ_decile",NA
"779","noise",7067,"educ_decile",7
"780","noise",2342,"educ_decile",2
"781","household",3768,"educ_decile",2
"782","household",5597,"educ_decile",10
"783","parking",13614,"educ_decile",10
"784","other",2483,"educ_decile",7
"785","other",3941,"educ_decile",10
"786","household",5928,"educ_decile",2
"787","household",2922,"educ_decile",8
"788","household",7815,"educ_decile",2
"789","household",6108,"educ_decile",7
"790","other",3731,"educ_decile",1
"791","other",5580,"educ_decile",6
"792","household",5928,"educ_decile",2
"793","collection",5011,"educ_decile",6
"794","household",6000,"educ_decile",1
"795","other",2794,"educ_decile",5
"796","other",1142,"educ_decile",5
